Title,Company,Location,Via,Related Links,Extensions
Software Engineer I,Vacasa,"  Kalamazoo, MI   ","via Kalamazoo, MI - Geebo","[{""link"": ""https://jobs.smartrecruiters.com/BoschGroup/743999977739773-software-engineer-multiple-positions-ref226409s-?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Smart Recruiters Jobs""}]","2 days ago, 20–28 an hour, Full-time, Paid time off"
Software Engineer II,Triplebyte,"  Kalamazoo, MI   ","via Kalamazoo, MI - Geebo","[{""link"": ""https://kalamazoo-mi.geebo.com/jobs-online/view/id/1057475238-software-engineer-ref130706s-at-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Kalamazoo, MI - Geebo""}]","2 days ago, 20–28 an hour, Full-time"
Developer,Aequor,"  Kalamazoo, MI   ",via ZipRecruiter,"[{""link"": ""https://www.indeed.com/viewjob?jk=b94cd27aa31a9e2e"", ""text"": ""Apply on Indeed""}]","7 days ago, Contractor"
Software Engineer DevOps,Humana Inc.,"  Kalamazoo, MI   ",via Employment Crossing,"[{""link"": ""https://www.ziprecruiter.com/c/Aequor/Job/Developer/-in-Kalamazoo,MI?jid=0e3f21a7d8f5d7e5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ZipRecruiter""}]",Full-time
Software Engineer (Multiple Positions) (REF226409S),Bosch Group,"  Kalamazoo, MI   ",via Smart Recruiters Jobs,"[{""link"": ""https://kalamazoo-mi.geebo.com/jobs-online/view/id/1355604037-lead-software-engineer-ios-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Kalamazoo, MI - Geebo""}]","17 days ago, Full-time"
Direct Market Manager - Lifeline and ACP Expert (Michigan - Kalamazoo),"ThinkTank, Inc","  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://www.ziprecruiter.com/c/ThinkTank-LLC/Job/Direct-Market-Manager-Lifeline-and-ACP-Expert-(Michigan-Kalamazoo)/-in-Kalamazoo,MI?jid=6a4861ec583a726b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on ZipRecruiter""}]","6 hours ago, Full-time"
Marketing Manager,Robert Half,"  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://www.showbizjobs.com/jobs/wwmt-marketing-sales-manager-in-kalamazoo/jid-reyyx7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ShowbizJobs""}]","3 days ago, Contractor, Health insurance, Dental insurance"
Marketing Manager,Rootead Enrichment Center,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.learn4good.com/jobs/kalamazoo/michigan/marketing_and_pr/3077394209/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Learn4Good""}]","7 days ago, 42K–52K a year, Full-time, Health insurance, Dental insurance, Paid time off"
Marketing and Communications Manager,Southwest Michigan First,"  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://www.indeed.com/viewjob?jk=dacbe426bdbff6ec"", ""text"": ""Apply directly on Indeed""}]","11 days ago, Full-time"
Manager Marketing,Western Michigan University,"  Kalamazoo, MI   ",via HERC Jobs,"[{""link"": ""https://www.linkedin.com/jobs/view/marketing-and-communications-manager-at-southwest-michigan-first-3851526188?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on LinkedIn""}]",Full-time
Senior brand manager,VirtualVocations,"  Kalamazoo, MI   ",via Talent.com,"[{""link"": ""https://www.talent.com/view?id=77ae7cbe01bb&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Talent.com""}]","24 hours ago, Full-time, No degree mentioned"
Manager of Marketing,Advia Credit Union,"  Kalamazoo, MI   ",via Learn4Good,"[{""link"": ""https://www.linkedin.com/jobs/view/director-of-marketing-at-farmers-alley-theatre-3867549930?refId=rBTi7JBqFoEv406LXR0eoA%3D%3D&trackingId=6kuHTK7Zg2Hasor2SB6i5g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on LinkedIn""}]","4 days ago, 10K a month, Full-time, No degree mentioned"
Growth marketing manager,VirtualVocations,"  Kalamazoo, MI   ",via Talent.com,"[{""link"": ""https://www.linkedin.com/jobs/view/marketing-manager-at-robert-half-3899527349?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on LinkedIn""}]","3 days ago, Full-time, No degree mentioned"
Marketing Sales Manager,WWMT,"  Kalamazoo, MI   ",via ShowbizJobs,"[{""link"": ""https://www.talent.com/en/view?id=37ff67ebc972&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on Talent.com""}]","Full-time, No degree mentioned"
